Paper,Gender,NumberOfCitations
10.1103/PhysRevB.89.024416,m,1
10.1103/PhysRevD.22.527,m,0
10.1103/PhysRevA.2.206,m,4
10.1103/PhysRevD.34.3031,m,7
10.1103/PhysRevA.45.2256,m,3
10.1103/PhysRevA.50.371,m,0
10.1103/PhysRevB.47.5964,m,10
10.1103/PhysRevD.61.126001,m,0
10.1103/PhysRev.122.1545,m,3
10.1103/PhysRevE.66.036119,m,13
10.1103/PhysRevLett.90.204801,m,3
10.1103/PhysRev.128.161,m,1
10.1103/PhysRevC.33.2185,m,0
10.1103/PhysRevD.32.1857,m,1
10.1103/PhysRevA.71.032503,m,2
10.1103/PhysRevLett.69.3017,m,1
10.1103/PhysRevD.67.104010,m,4
10.1103/PhysRev.83.1031,m,1
10.1103/PhysRevE.47.4265,m,14
10.1103/PhysRevA.94.022506,m,0
10.1103/PhysRevLett.54.1330,m,0
10.1103/PhysRev.47.379,m,9
10.1103/PhysRevA.71.063409,m,0
10.1103/PhysRevLett.23.109.2,m,1
10.1103/PhysRevE.62.2945,m,0
10.1103/PhysRevE.79.056311,m,3
10.1103/PhysRevD.86.015001,m,18
10.1103/PhysRevLett.99.020401,m,12
10.1103/RevModPhys.64.755,m,34
10.1103/PhysRevB.65.075406,m,5
10.1103/PhysRevE.78.036105,m,13
10.1103/PhysRevD.34.3109,m,1
10.1103/PhysRevE.72.066613,m,1
10.1103/PhysRev.123.1130,m,5
10.1103/PhysRevB.46.2086,m,22
10.1103/PhysRevLett.28.1376,m,0
10.1103/PhysRev.107.427,f,2
10.1103/PhysRevE.68.031204,m,10
10.1103/PhysRevA.5.2408,m,11
10.1103/PhysRev.171.1335,m,3
10.1103/PhysRevA.14.114,m,0
10.1103/PhysRevLett.88.249401,m,9
10.1103/PhysRevC.53.849,f,4
10.1103/PhysRevB.54.1494,m,4
10.1103/PhysRev.64.207,m,13
10.1103/PhysRevC.90.055208,m,8
10.1103/PhysRevE.60.3905,m,2
10.1103/PhysRevD.66.056010,f,3
10.1103/PhysRev.184.233,m,16
10.1103/PhysRevD.31.3288,m,140
10.1103/PhysRev.95.249,m,490
10.1103/PhysRevLett.73.2279,m,70
10.1103/PhysRevD.66.045014,f,10
10.1103/PhysRevD.61.024025,m,6
10.1103/PhysRevB.3.3821,m,31
10.1103/PhysRev.172.651,m,50
10.1103/PhysRevLett.107.177001,f,13
10.1103/PhysRevB.1.3963,m,10
10.1103/PhysRev.172.423,m,1
10.1103/PhysRevD.23.2262,m,46
10.1103/PhysRevA.40.6077,m,0
10.1103/PhysRevD.54.4691,f,57
10.1103/PhysRevD.58.083504,m,29
10.1103/PhysRevB.32.2808,m,20
10.1103/PhysRevA.76.032318,m,4
10.1103/PhysRev.135.B830,m,22
10.1103/PhysRev.6.419,m,1
10.1103/PhysRevE.62.5242,m,8
10.1103/PhysRevD.13.574,m,1
10.1103/PhysRevD.28.2414,m,5
10.1103/PhysRevD.15.1589,m,5
10.1103/PhysRevB.14.5161,m,4
10.1103/PhysRevA.5.2247,m,19
10.1103/PhysRev.47.97,m,11
10.1103/PhysRev.135.B1338,m,3
10.1103/PhysRevA.27.1197,m,3
10.1103/PhysRevA.80.052305,m,5
10.1103/PhysRevB.51.2159,m,7
10.1103/PhysRevE.78.026206,m,1
10.1103/PhysRevD.41.3541,m,13
10.1103/PhysRevE.48.273,m,2
10.1103/PhysRev.76.951,m,0
10.1103/PhysRevD.77.045016,m,7
10.1103/PhysRevA.65.052304,m,9
10.1103/PhysRevD.89.084007,m,6
10.1103/PhysRev.72.731.3,f,3
10.1103/PhysRevA.1.868,m,0
10.1103/PhysRevA.70.062107,m,2
10.1103/PhysRevLett.70.1894,m,0
10.1103/PhysRevB.53.7065,m,4
10.1103/PhysRevA.53.2998,m,41
10.1103/PhysRevB.47.4585,m,6
10.1103/PhysRevLett.57.1102,m,7
10.1103/PhysRevB.68.104510,m,46
10.1103/PhysRevB.36.8565,m,42
10.1103/PhysRevLett.102.078302,m,3
10.1103/PhysRevE.58.R1199,m,9
10.1103/PhysRevA.93.022116,m,0
10.1103/PhysRevD.60.094505,m,9
10.1103/PhysRevA.85.062117,m,9
10.1103/PhysRevD.66.064025,m,3
10.1103/PhysRev.88.1358,m,31
10.1103/PhysRevA.38.2103,f,19
10.1103/PhysRevB.4.216,m,7
10.1103/PhysRevD.3.622,m,8
10.1103/PhysRevD.22.391,m,28
10.1103/PhysRev.111.1397,f,1
10.1103/PhysRevA.71.065801,m,17
10.1103/PhysRevLett.77.3855,m,25
10.1103/PhysRevE.59.5556,f,15
10.1103/PhysRevLett.18.798,m,14
10.1103/PhysRev.100.981,m,3
10.1103/PhysRevD.55.3886,m,0
10.1103/PhysRevD.21.2840,m,2
10.1103/PhysRevB.69.214433,m,9
10.1103/PhysRevE.58.R1218,m,0
10.1103/PhysRevLett.117.207401,m,0
10.1103/PhysRevLett.117.215502,m,0
10.1103/PhysRevC.22.422,m,0
10.1103/PhysRevA.2.2060,m,0
10.1103/PhysRevD.91.124075,m,4
10.1103/PhysRevLett.63.2158,m,11
10.1103/PhysRevLett.29.158,m,2
10.1103/PhysRevD.3.3195,m,5
10.1103/PhysRev.58.565,m,15
10.1103/PhysRevE.57.6840,m,1
10.1103/PhysRev.89.25,m,2
10.1103/PhysRevD.68.024015,m,0
10.1103/PhysRevLett.100.162001,m,59
10.1103/PhysRevB.60.9690,m,1
10.1103/PhysRevLett.21.1855,m,8
10.1103/PhysRev.64.119,m,1
10.1103/PhysRevE.87.042707,m,0
10.1103/PhysRevD.93.093001,m,0
10.1103/PhysRevA.62.024301,m,22
10.1103/PhysRevB.75.115104,m,54
10.1103/PhysRevD.68.084018,m,0
10.1103/PhysRevD.49.5131,m,6
10.1103/PhysRevB.61.1853,f,3
10.1103/PhysRevB.68.184503,m,6
10.1103/PhysRevA.17.659,m,5
10.1103/PhysRevB.26.2648,m,1
10.1103/PhysRevD.21.1695,m,4
10.1103/PhysRev.118.724,m,11
10.1103/PhysRevD.78.093006,m,3
10.1103/PhysRevC.36.720,m,6
10.1103/PhysRevD.64.124001,m,7
10.1103/PhysRevE.53.6134,m,0
10.1103/PhysRevE.88.042139,m,4
10.1103/PhysRevD.71.104038,m,2
10.1103/PhysRevD.90.024016,m,0
10.1103/PhysRevB.44.11432,m,2
10.1103/PhysRevD.88.014002,m,6
10.1103/PhysRev.171.1655,m,1
10.1103/PhysRev.148.1558,m,1
10.1103/PhysRevA.26.3137,m,16
10.1103/PhysRevB.61.14523,m,5
10.1103/PhysRevB.48.4786,m,10
10.1103/PhysRevLett.59.1140,m,87
10.1103/PhysRevD.50.3295,m,24
10.1103/PhysRevB.51.3655,m,1
10.1103/PhysRevD.77.105017,m,4
10.1103/PhysRevA.3.1431,m,3
10.1103/PhysRevE.58.7027,m,1
10.1103/PhysRev.36.1096.2,m,0
10.1103/PhysRevB.43.4034,m,0
10.1103/PhysRevA.89.020301,m,2
10.1103/PhysRev.95.426,m,4
10.1103/PhysRev.49.341,m,10
10.1103/PhysRev.102.461,m,4
10.1103/PhysRevD.73.065002,m,2
10.1103/RevModPhys.68.473,f,63
10.1103/PhysRevD.4.1268,m,0
10.1103/PhysRev.87.389,m,8
10.1103/PhysRev.166.75,m,3
10.1103/PhysRevLett.74.1884,m,6
10.1103/PhysRev.114.18,m,3
10.1103/PhysRevE.86.061604,f,0
10.1103/PhysRevD.15.3717,m,1
10.1103/PhysRevD.39.2327,m,3
10.1103/PhysRevD.85.123520,m,8
10.1103/PhysRev.53.845,m,3
10.1103/PhysRevB.40.5194,m,6
10.1103/PhysRevB.49.13809,m,7
10.1103/PhysRevD.13.1309,m,5
10.1103/PhysRevA.65.063410,m,4
10.1103/PhysRevD.55.5992,f,14
10.1103/PhysRevLett.24.286,m,31
10.1103/PhysRevB.62.6860,m,7
10.1103/PhysRevA.38.3425,m,14
10.1103/PhysRevSeriesI.2.35,m,1
10.1103/PhysRevB.49.16785,m,0
10.1103/PhysRevA.76.022107,m,0
10.1103/PhysRevE.72.026109,f,1
10.1103/PhysRevD.24.251,m,1
10.1103/PhysRevD.34.3058,m,2
10.1103/PhysRevD.42.585,m,16
10.1103/PhysRev.50.547,m,5
10.1103/PhysRevD.80.124003,m,3
10.1103/PhysRevD.71.103505,m,31
10.1103/PhysRevD.79.097301,m,3
10.1103/PhysRevE.88.032104,m,8
10.1103/PhysRev.164.352,m,95
10.1103/PhysRev.105.1846,m,7
10.1103/PhysRevLett.42.759,m,5
10.1103/PhysRevB.82.125323,m,6
10.1103/PhysRevA.73.024101,m,0
10.1103/PhysRevB.24.4449,f,0
10.1103/PhysRevE.51.4642,m,4
10.1103/PhysRevD.18.3045,m,6
10.1103/PhysRev.132.1693,m,2
10.1103/PhysRevLett.106.129901,m,6
10.1103/PhysRevE.65.056102,m,13
10.1103/PhysRev.82.515,m,5
10.1103/PhysRevE.58.738,m,86
10.1103/PhysRev.172.1532,m,12
10.1103/PhysRev.80.708,m,18
10.1103/PhysRev.116.107,m,33
10.1103/PhysRevD.82.064011,m,11
10.1103/PhysRev.160.809,m,7
10.1103/PhysRevLett.36.1511,m,4
10.1103/PhysRevD.5.836,m,3
10.1103/PhysRevC.14.361,m,2
10.1103/PhysRevB.77.115412,f,0
10.1103/PhysRevA.82.036102,m,0
10.1103/PhysRevLett.21.1696,m,1
10.1103/PhysRevD.53.824,m,13
10.1103/PhysRevE.77.062101,f,0
10.1103/PhysRevC.83.044319,m,8
10.1103/PhysRevA.68.012306,m,11
10.1103/PhysRevD.39.2178,m,6
10.1103/PhysRevA.52.1079,m,21
10.1103/PhysRev.32.746,m,3
10.1103/PhysRev.165.888,f,12
10.1103/PhysRevD.81.075024,m,6
10.1103/PhysRevE.91.032903,m,1
10.1103/PhysRevB.28.6453,f,0
10.1103/PhysRevE.71.032501,m,2
10.1103/PhysRev.126.1139,m,2
10.1103/PhysRev.106.369,m,40
10.1103/PhysRevB.94.205149,m,0
10.1103/PhysRevA.46.682,m,5
10.1103/PhysRevE.88.062131,m,0
10.1103/PhysRevC.69.034305,m,11
10.1103/PhysRevE.73.031903,m,1
10.1103/PhysRevB.51.10743,m,36
10.1103/PhysRev.52.885,m,7
10.1103/PhysRevD.64.094003,m,20
10.1103/PhysRevE.69.027301,m,8
10.1103/PhysRevD.76.105011,f,2
10.1103/PhysRevE.59.2281,m,0
10.1103/PhysRevD.63.024014,m,4
10.1103/PhysRev.112.1240,m,5
10.1103/PhysRevLett.61.1803,m,25
10.1103/PhysRev.140.A523,m,19
10.1103/PhysRev.92.927,m,1
10.1103/PhysRev.119.1496,m,4
10.1103/PhysRevE.65.016124,m,0
10.1103/PhysRevLett.86.196,m,26
10.1103/PhysRevLett.2.223,m,0
10.1103/PhysRevD.50.5296,m,6
10.1103/PhysRevB.41.3517,f,13
10.1103/PhysRevA.41.5771,m,0
10.1103/PhysRevD.79.064029,m,2
10.1103/PhysRevB.47.16358,m,14
10.1103/PhysRevD.16.3450,m,1
10.1103/PhysRevE.82.066310,m,2
10.1103/PhysRevB.77.017101,m,1
10.1103/PhysRevD.57.961,m,2
10.1103/PhysRev.55.1272,m,6
10.1103/PhysRevD.78.105018,m,0
10.1103/PhysRevB.32.6832,m,0
10.1103/PhysRevD.67.123504,m,28
10.1103/PhysRevB.58.6506,m,44
10.1103/PhysRevD.84.064013,m,21
10.1103/PhysRevD.8.2545,f,1
10.1103/PhysRevC.57.322,m,11
10.1103/PhysRevLett.15.545,m,1
10.1103/PhysRev.155.429,m,9
10.1103/PhysRevB.42.5895,m,26
10.1103/PhysRevA.94.043816,m,0
10.1103/RevModPhys.73.119,m,18
10.1103/PhysRevB.85.241401,f,8
10.1103/RevModPhys.11.36,m,11
10.1103/PhysRev.85.432,m,10
10.1103/PhysRevLett.37.1454,m,5
10.1103/PhysRevE.70.056204,m,3
10.1103/PhysRevLett.117.051102,m,0
10.1103/PhysRev.144.435,m,26
10.1103/PhysRevB.40.12507,m,9
10.1103/PhysRevD.68.054023,m,26
10.1103/PhysRevD.40.2421,m,8
10.1103/PhysRevD.88.063525,m,1
10.1103/PhysRevC.2.402,m,37
10.1103/PhysRevB.60.4545,m,4
10.1103/PhysRevA.24.1077,m,2
10.1103/PhysRevD.61.024033,m,15
10.1103/PhysRevLett.63.2220,m,17
10.1103/PhysRev.51.190,m,4
10.1103/PhysRev.138.B1182,m,14
10.1103/PhysRevB.41.9886,m,13
10.1103/PhysRevB.4.2932,m,36
10.1103/PhysRevD.66.062002,m,9
10.1103/PhysRevD.84.083516,m,0
10.1103/PhysRevD.90.123531,m,1
10.1103/PhysRevD.1.207,m,5
10.1103/PhysRevE.85.056114,m,3
10.1103/PhysRev.181.499,m,6
10.1103/PhysRevA.56.4910,m,5
10.1103/PhysRevD.28.1515,f,1
10.1103/PhysRevB.45.4027,m,57
10.1103/PhysRev.154.633,m,111
10.1103/PhysRevD.25.1262,m,0
10.1103/PhysRevB.63.045113,m,5
10.1103/PhysRevC.9.1188,m,2
10.1103/PhysRevD.52.1643,m,6
10.1103/PhysRevD.90.095024,f,1
10.1103/PhysRevD.36.1745,m,4
10.1103/PhysRevD.47.3933,m,5
10.1103/PhysRevD.57.6342,m,1
10.1103/PhysRevD.3.2312,m,2
10.1103/PhysRevD.89.106009,m,3
10.1103/PhysRev.143.353,m,12
10.1103/PhysRev.95.67,m,1
10.1103/PhysRevA.62.022111,m,3
10.1103/PhysRev.183.1228,m,22
10.1103/PhysRevB.8.2026,m,8
10.1103/PhysRev.130.211,m,21
10.1103/PhysRevB.68.125102,m,5
