Name,Gender
Marcus+Petschlies,male
Yusuke+Tokunaga,male
Moshe+Lindner,male
Paweł+Pierański,male
Itai+Orr,male
Jan+van Esch,male
Zuzana+Mitróová,female
Christopher+Czaban,male
Bernd+Rosenow,male
Riccardo+Pagnani,male
Yusaku+Iwasawa,male
Didier+Ravot,male
Haim+Novogrodsky,male
Federico+Pettazzi,male
Zohar+Ringel,male
Jiri+Malek,male
Jezabel+Curbelo,female
Adam M.+Becker,male
A. D. Prasad+Rao,male
Blas R.+Alascio,male
Hadi+Rankoohi,male
François+Montanet,male
Karthik+Mukundakrishnan,male
Stefan+Buhrandt,male
Hilda+Mercado-Uribe,female
Nilay+Hazari,male
Kent F.+Milfeld,male
Christopher+Jennings,male
Manuel+Gruber,male
Takayuki+Nozaki,male
Samuel A.+Dickson,male
Alasdair+Routh,male
Eizo+Nakamura,male
Hirotaka+Toyoshima,male
Matthew+Choptuik,male
Hooman+Davoudiasl,male
Timothy E.+Meehan,male
Paolo+Serra,male
Barbara Dwight+Schriever,female
Igor E.+Dikshtein,male
Pablo Aitor+Postigo,male
Krzysztof+Walasek,male
Nick+Weppenaar,male
Giulio+Cerullo,male
Noel+Perez,male
Edgar Josué+Landinez Borda,male
Adam+Latosiński,male
Federica+LoVerso,female
Charles S.+Fazel,male
Orson L.+Anderson,male
Karel V.+Kucha,male
Madhura+Joglekar,female
Georg+Kastlunger,male
Pavel+Bushev,male
Stefan+Schymura,male
Alexei V.+Fedotov,male
Rasil+Warnakulasooriya,male
Hiroshi+Yoshikawa,male
Frank+Endres,male
Sergey S.+Kurennoy,male
Kenneth W.+Sulston,male
James M.+Cork,male
Patrycja+Paruch,female
Konstantinos+Tzirakis,male
Christos G.+Tsagas,male
Clivia M.+Sotomayor Torres,female
Warren+Grice,male
Norris+Johnston,male
Alexander+Leyderman,male
Chiara+Perazzolli,female
Bjørn+Skjetne,male
Hans E.+Suess,male
Adrian+Staicu,male
Nikolay+Kolev,male
Shunichi+Hishita,male
Sophie+Pireaux,female
Margaret M.+Ramsey,female
Yoshinori+Tsuchiya,male
Petr+Stepanov,male
Craig M.+Brown,male
Keshav M.+Dani,male
Douglas H.+Rudd,male
Hans A.+Graf,male
Anna+Hiley,female
Eduardo+Zambrano,male
J. Colin+Hill,male
Rafal+Topolnicki,male
Amena L. T.+Khan,female
Rustam+Ibadov,male
Anton+Artemyev,male
Ashwani+Sharma,male
Marcello+Pavan,male
Katarzyna+Wójcik,female
Max J.+Breitschafter,male
Catherine+Barentin,female
José Manuel+Gordillo,male
Martin+Siegert,male
Jerry+DeLapp,male
Matthew R.+Dietrich,male
Omer+Donmez,male
Ellen+Moons,female
Benny+Lautrup,male
Dana Z.+Anderson,female
A. Carrillo+Monteverde,male
Yael+Klein,female
JACK R.+MACDONALD,male
Glen+McCarthy,male
Carey+Briggs,female
Alain+Bulou,male
TOSHIKO+YUASA,female
Sergei+Bravyi,male
Ralph+Carey,male
Eckehard+Schöll,male
Rico+Pohle,male
Piotr+Migdał,male
Charles S.+Adams,male
Knut J.+Børve,male
José A.+Ferrari,male
Alexei+Tsvelik,male
Marcus+Elstner,male
Rolf E.+Isele-Holder,male
Toshiyuki+Kanazawa,male
Alfred A.+Kraus,male
Peter J.+Heaney,male
Ningning+Tang,female
Dmitry+Bratsun,male
Jeremi+Dauchet,male
Tadashi+Takemori,male
Shinsuke+Shibata,male
Theodore C.+Harman,male
James+Dent,male
W. Ted+Masselink,male
H̊akan+Olin,male
Bennett D.+Marshall,male
Zvi+Barak,male
Sergey+Ovchinnikov,male
Assaf+Bar-Yaacov,male
Valentin+Barna,male
Judith+Petri,female
Joydev+Lahiri,male
William E.+Hatfield,male
Yuching+Tu,female
Fahad+Mahmood,male
Carmen+Nguyen,female
Alexandre+Kudlinski,male
Masayuki+Shimojo,female
Nikolay+Panev,male
Mathieu+Leroux,male
Jim+Overkamp,male
Fortunato Silva+de Menezes,male
Giancarlo+Ferrera,male
Naoki+Koide,male
Steven M.+Gorelick,male
Sachin+Goyal,male
Szilvia+Nagy,female
Arlene C.+Aguilar,female
Antoine+Llebaria,male
James S.+Magnuson,male
Ferran+Garcia,male
Biplab+Pal,male
Noriyuki+Shimoyama,male
Torsten+Hahn,male
Rudolf+Schäfer,male
Shigeaki+Utsumi,male
Doron+Shlomo,male
Rajib+Biswas,male
M. Malek+Mansour,male
Gilles+Vertongen,male
Marcelo+de Oliveira Souza,male
Tohru+Higuchi,female
Amy+Novick-Cohen,female
Raoul+Malm,male
Rebekka+König,female
Moses+Lee,male
Marc+Palmer,male
James A.+Van Allen,male
Tomohiro+Kawamura,male
Matthew T.+Guptill,male
Alexei+Vasiliev,male
Alexander T.+Blumenau,male
K. Lark+-Horovitz,female
Topi+Korhonen,male
Vladimir M.+Bedanov,male
Peter+Lichtner,male
Christopher M.+Baker,male
Karin+John,female
Yair+Arian,male
Hans Georg+Embacher,male
Giuseppe+Arcovito,male
Wiendelt+Steenbergen,male
Narda+Ben-Horin,female
Takashi+Mizutani,male
Hugh+Dalgleish,male
Brendan F.+Phelan,male
Seppo O.+Sari,male
Peter+Schuck,male
Naresh+Chand,male
Marco+Roncadelli,male
Dimitris N.+Mihailidis,male
F. L. Bello+Garrote,male
Konrad+Thürmer,male
Maciej+Sawicki,male
Kenji+Iwashita,male
Bilge+Yildiz,female
Deshdeep+Sahdev,male
Yasuo+Kuniyoshi,male
Colin G. W.+Thomas,male
Stanley+Jernow,male
Rafael+Gutierrez,male
Ljupčo+Hadžievski,male
Hajime+Fukuda,male
Satoshi+Okuzumi,male
Frank+Wirner,male
Alka B.+Garg,female
Natasha+Gabay,female
Darin+Beigie,male
Yuki+Sughiyama,female
Christopher+Grossert,male
Frederick+Raab,male
Merav+Stern,female
Susanne+Blum,female
Ivan+Collier,male
Junichiro+Yasuda,male
Vanessa E.+Fairbank,female
Alexander J.+Shuskus,male
Hans+Geissel,male
Shahar+Rinott,male
Andrey+Milchev,male
Zoltan+Paulini,male
Amy+Lien,female
Julien+Arlandis,male
Marie-Aude+Measson,female
M. Aparicio+Alcalde,male
Dipankar+Chakrabarti,male
Peter+Kafalas,male
Anh Khoa Augustin+Lu,male
Stefano+Braccini,male
Ameya Deepak+Rane,male
Sona+Prakash,female
Vasil+Tiberkevich,male
Stefan+Bretschneider,male
Masa+Tsuchiya,male
Gian Paolo+Brivio,male
Scott+Glancy,male
Wilfried+Assenmacher,male
Claude+Porte,male
Julie+Goulet,female
Angelica M.+Stacy,female
Tyler J.+Johnson,male
Irina+Paykin,female
Bojan A.+Marinkovic,male
Michael A.+Nielsen,male
Galya+Blum,female
Ferial+Terki,female
A. Lawrence+Roe,male
Michael+von Ortenberg,male
Mitsuhiro+Tanaka,male
Alexander+Seeholzer,male
László P.+Csernai,male
Robin+Schürmann,male
Steen+Dannefaer,male
Susanne+Pfalzner,female
William J.+Burke,male
Dominik M.+Bauer,male
Michael+Plümacher,male
Hagen+Kleinert,male
Shigenori+Hiramatsu,male
Stefan+Schacht,male
Chariya+Jacobi,female
James L.+Lawson,male
Thaddeus F.+Kycia,male
Wolfgang+Pietsch,male
Michael F.+Stumborg,male
Preben+Hvelplund,male
Dwight E.+Neuenschwander,male
Klas+Modin,male
Samantha L.+White,female
Manoj P.+Samanta,male
Yoshio+Muto,male
Yasuhiro+Utsumi,male
Milind N.+Kunchur,male
Paulo H.+Valadares Pereira,male
Davide+Proment,male
Jonathan D.+Mar,male
Pierre+Guillot,male
Karen M.+Fonseca-Romero,female
Douglas J.+Tobias,male
Simone+Techert,male
Catherine+McCammon,female
Paulos+Chatzis,male
Andrea+Marini,male
Bernard B.+Watson,male
Albert+Kung,male
Blanca+Hernando,female
Walter+Haeffner,male
Adam+Lidz,male
Hiroyasu+Ejiri,male
Burton+Richter,male
Colm T.+Whelan,male
Yona+Oren,male
Stanley+Byron,male
Xinyang+Wang,male
Pierre+Becker,male
Ralf+Busch,male
Susan L.+Dexheimer,female
Ioav+Waga,male
Oleksandr+Voznyy,male
Masatoshi+Fujimoto,male
Dmitri+Petrov,male
Yasuaki+Onodera,male
ALLAN+GRIFFIN,male
Kiril+Hristov,male
Tommaso+Gabbriellini,male
Karl+Besocke,male
Timothy I.+Hyde,male
Sudhakar+Yarlagadda,male
Bhargav+Rallabandi,male
Gulshan+Mahajan,male
Michael+Bachman,male
Jonas T.+Karlsen,male
Joyce+Garden,female
Fumitaka+Hayashi,male
Gouri Shankar+Tripathi,male
Hans-Jürgen+Sommers,male
Beth A.+Lindsey,female
Pascal+Chauve,male
Matthias+Reichelt,male
Matthew+Hewitt,male
Luis M.+Pereira,male
Emily+Mount,female
Nobuchika+Okada,male
Neeraj+Kumar,male
Mario+Rasetti,male
Michael D.+Thompson,male
Andrej+Kuznetsov,male
Michael+Pippig,male
José Alejandro+Rosabal,male
Emanuele+Orazi,male
Arnab+Mukherjee,male
Emmanuelle+Rio,female
Marvin B.+Klein,male
Hajime+Inaba,male
Takuya+Susuki,male
Nikhil+Kumar,male
Jiro+Yoshida,male
Jacek+Grela,male
William C.+King,male
Marc+Henneaux,male
Ralitsa L.+Dragomirova,female
Daria+Popova-Gorelova,female
Markus+Böhm,male
Miranda+Holmes-Cerfon,female
Bernhard+Goller,male
Chungjong+Yu,male
Ciarán+Hickey,male
Evgueny+Kochetov,male
Martin+Schadt,male
Bastian+Jungnitsch,male
Masashi+Yoshida,male
Marvin+Willers,male
Johannes+Courtial,male
Antoine+Goujon,male
Yasuhiro+Mochizuki,male
Volodymyr+Turkowski,male
Supeng+Kou,female
Wolfgang+Mauerer,male
Philip A.+Shea,male
Scott E.+Whitmire,male
Rahul+Marathe,male
Nathan P. M.+Holt,male
Chiara+Caprini,female
Sakura Nishino+Takeda,female
Dirk+Schwalm,male
Werner+Groh,male
Andreas+Schönhals,male
Fritz+Gassmann,male
Laurent+Duraffourg,male
Valer+Tosa,male
Vincent+Lin,male
Xianggang+Qiu,female
Jacqueline+Krim,female
Naoko+Kurahashi,female
Axel+Müller-Groeling,male
Bruce+Bolon,male
Sven+Stienen,male
Benoit+Semelin,male
Hubert K.+Chan,male
Marine+Verseils,female
Mauricio+Carrillo-Tripp,male
Irina E.+Lyublinskaya,female
Sebastian+Eckert,male
Martin V.+Ferer,male
Monalisa+Patra,female
Christopher+Bottcher,male
Thierry+Roisnel,male
Soichiro+Okamura,male
Vera+Novak,female
Edwin+van der Pol,male
Vladimir+Timoshevskii,male
Antoine M.+van Oijen,male
Wendell H.+Potter,male
Andrzej+Daniluk,male
Thierry+Michel,male
Raymond J.+Stefanski,male
Mauro+Satta,male
Carena+Daniels,female
Yağmur+Aksu Korkmaz,female
C. Harold+Goddard,male
Mélanie+Ferrié,female
Alexeï+Bosak,male
Philippe+Dieudonné,male
Peter+Glans,male
Stavros+Komineas,male
Marcel J.+Rost,male
Piotr+Lange,male
Osamu+Iguchi,male
Detlef+Holstein,male
Christopher+Lefky,male
Reijiro+Kubo,male
Bernhard+Schrefler,male
Milton P.+Stombler,male
Roland+Glantz,male
Alexander W.+Glaetzle,male
Bojana+Popić,female
Laura+Tedeschini-Lalli,female
Ryuichi+Wada,male
Jérôme F. L.+Duval,male
József Zsolt+Bernád,male
Christian+Lerminiaux,male
Joachim+Fischbach,male
Eoin+Kerrane,male
Younes+Javanmard,male
Jacques+Dupont-Roc,male
Günter+Majer,male
Marcus+Heuberger,male
Teodor+Zaharia,male
Daichi+Muranaka,male
Dara P. S.+McCutcheon,female
Raúl+Gago,male
Marco+Borghesi,male
Aga+Shahee,female
Tobias+Roth,male
Elias+Coniavitis,male
Cristina+Navio,female
Florian+Strigl,male
Jose R.+Lozano,male
Yanier+Crespo,male
Roger+Ghanem,male
Ahmad+Bedram,male
Pierre+Darancet,male
Marco+Guzzi,male
Wolfgang+Häusler,male
Arnaud+Arbouet,male
Hanns Walter+Müller,male
Ronald+Geballe,male
Derek+Austin,male
Sandipan+Sengupta,male
Sayantan+Ghosh,male
Vance+Bergeron,male
Lasse B.+Vilhelmsen,male
Arndt+Simon,male
Werner+Gillijns,male
Léonard+de Izarra,male
Christophe+Berthod,male
Federico Garcia+Santibáñez,male
Joshua+Combes,male
Dumitru+Mazilu,male
Shogo+Hashimoto,male
Ivar+Zapata,male
Marcin+Dukalski,male
Miloslav+Znojil,male
Joel L.+Plawsky,male
Malcolm+Howells,male
Ahmed+Abdelzaher,male
Michael M.+Fogler,male
Pierre+de Fouquieres,male
Haitao+Wang,male
Vyacheslav F.+Solovyov,male
Marie+D'Iorio,female
Matthew J.+Carter,male
Stefen+Lämmer,male
Kuldeep+Kumar,male
Rafael Hernández+Heredero,male
Amir+Abdallah,male
Justin G.+Bohnet,male
Takashi+Washio,male
Andres+Castellanos-Gomez,male
Antoni S.+Gozdz,male
José-María+Martí,male
Péter+Szelestey,male
James N.+Cook,male
Luka+Popov,male
Romeo+de Coss,male
Sefi+Givli,male
Alberto+Ventura,male
Olivier+Michel,male
Wataru+Oohara,male
Nigel+Wright,male
Olav+Benestad,male
Katrina E.+Hibberd,female
Christopher C. J.+Potter,male
Giacomo M.+D'Ariano,male
Douglas H.+Ewing,male
Martin+Weigel,male
Earl+Scime,male
Gunnar T.+Linke,male
Belén+Maté,female
Mona+Frommert,female
Michael+Hutchinson,male
Orest+Glembocki,male
Philippe+Haas,male
Anton+Anema,male
Janice H.+Nickel,female
Eckhart+Fretwurst,male
Sergej+Orlov,male
Erina+Nishida,female
Marko D.+Petrović,male
Lon+Wilkens,male
A. Sander+Haase,male
Kentaro+Sato,male
LAWRENCE S.+LERNER,male
Victor A.+Malyshev,male
Guliano+Benenti,male
Akira+Hayama,male
Angelo+Calci,male
Leonard+Gamberg,male
Jiho+Kim,female
Thibault+Damour,male
Davide+Gatti,male
Hiroto+Morishita,male
J. Micah+North,male
Austen+Lamacraft,male
Yoshio+Yamaguchi,male
Ofer+Shapira,male
Matthias+Rybarsch,male
Nathan+Goldman,male
Mohammad Abdur+Rashid,male
Glen+Culler,male
Michael P.+Tuite,male
Yuriko Sassa+Kawamura,female
Sami+Nurmi,male
Kumar+Nanjundiah,male
Andrea+Fani,male
Ivan+Kukuljan,male
Evan H.+Abramson,male
Stefan+Naler,male
Oscar+Fuentealba,male
Horia I.+Petrache,male
Leslie A.+Sasa,female
Martin A.+Porter,male
Kiyoshi+Nishizawa,male
Shuangquan+Xie,male
Nick+Dorey,male
Denis+Bartolo,male
Michael+Rubinstein,male
Alberto+Abad,male
Koichi+Shimakawa,male
Kurt A.+Buzard,male
Matthias+Apel,male
Nikolay+Nizov,male
Kin-Chit+O,female
Vincenzo+Augelli,male
Lorenz+Romaner,male
Johannes+Kern,male
Cory W.+Carpenter,male
Peter+Samuelsson,male
Matthew D.+Sievert,male
Gorden+Videen,male
Yosuke+Nagaoka,male
Karl+Mannheim,male
Sven+van Teeffelen,male
Daniela+Schulze,female
Ovidiu D.+Gordan,male
Dawn A.+Bonnell,female
Vincent+Davesne,male
Takasi+Shoji,female
Alexia+Auffèves,female
Kausik+Bhattacharyya,male
Alison E.+Malcolm,female
Ulrich J.+Gossmann,male
Hideyuki+Kato,male
Linus+Pauling,male
Victor E.+Ambruş,male
Wanhee+Lee,male
Timothy M.+Swager,male
Hidehiko+Fukunaga,male
S. Alexander+Ridgway,male
Christian K.+Machens,male
Steve B.+Lowen,male
Kengo+Ishiyama,male
Edgar Campos+Furtado,male
Cory R.+Dean,male
Kenneth C.+Rule,male
Konstantinos+Konstantinou,male
Erwin A.+Schuberth,male
Scott R.+Anderson,male
Bruno+Bassetti,male
Laure+Bourgeois,female
Steven S.+McCready,male
Gabriel+Hose,male
Trieu+Nguyen,female
Erwin M.+Friedlander,male
Ted M.+Clark,male
R. Juergen+Behm,male
Torsten+Rabe,male
Elena+Gnani,female
V. Kelvin+Neil,male
Tiago P.+Peixoto,male
Arthur+Parzygnat,male
Nick P.+Proukakis,male
Masakatsu+Okada,male
Niels Hessel+Andersen,male
Pranati K.+Rath,female
Thiago V.+Acconcia,male
Antti+Lauri,male
Shigeki+Otani,male
Filip A.+Rasmussen,male
Mihoko M.+Nojiri,female
Sergey+Polyutov,male
Yves+Noat,male
Edwin C.+Jones,male
Malay+Dalui,male
Thierry+Dombre,male
Ursula+Tietze,female
Naresh+Chandra,male
Yoh+Yamamoto,male
Jihyun+Choi,female
Mukesh+Kumar,male
Vittorio+Rosato,male
Barry+Winn,male
Jacob J.+Wisser,male
Jonghyun+Kahng,male
Kazuhito+Fujii,male
Nils Erik+Dahlen,male
Douglas E.+Baldwin,male
Julia A.+Kornfield,female
Colin V.+Parker,male
Erion+Gjonaj,male
Laurent+Bardotti,male
Karen+Lee,female
Gabriel A.+Cwilich,male
Aniello+Lampo,male
Jason+Pelc,male
Igor+Zorić,male
Valentina+Brosco,female
Shlomo+Ovadia,male
Anne K.+Starace,female
Holger+Haas,male
Delia+Ristoiu,female
Dipti+Pal,female
Vadim+Lensky,male
Carlo+Meneghelli,male
Howard C.+Berg,male
Sylvain+Bréchet,male
Brice+Smith,male
James R.+Beckett,male
Douglas C.+Allan,male
Victor V.+Kulagin,male
Leon J.+Radziemski,male
Thuc-Quyen+Nguyen,male
Alexander+Piel,male
Apisit+Tongchai,male
Gytis+Juška,male
Michael+Naguib,male
Yoshirou+Suetake,male
Ahmad+Amjadi,male
Gian Luca+Pellegrini,male
Dimitris A.+Papaconstantopoulos,male
Sebastian+Orzeł,male
Balbir S.+Reehal,male
Ann E.+Orel,female
Pankaj K.+Mishra,male
Christoph+Hufnagel,male
Fabian+Zschocke,male
Pavel+Korzhavyi,male
Grzegorz+Białkowski,male
Sherwin J.+Singer,male
Kazuhiko+Hirakawa,male
Philip J.+Camp,male
Antoine+Campagne,male
Masataka+Kuwamura,male
Nicki+Bornhauser,female
Biswajit+Karmakar,male
Rajendra R.+Zope,male
Kay+Weiss,female
Wolfgang+Muschik,male
Vandana+Nanal,female
Vladimir I.+Sugakov,male
Jackson D.+Clarke,male
Haruki+Okawa,male
Caroline+Mellot-Draznieks,female
Régis+André,male
Allan+Rosencwaig,male
Hogun+Jhang,male
Arneil+Reyes,male
Changbong+Hyeon,male
Katalin+Kovács,female
Joanna+Schmit,female
Peter+Orland,male
Shayne+Reichard,male
Jivtesh+Garg,male
Yuriy+Zinchenko,male
Patricia T.+Boyd,female
Peter+Lipa,male
Harvey+Amster,male
Josep M.+Ribó,male
Kostas N.+Orginos,male
Stefano+Ranfone,male
W. P. Karel+Zapfe,male
Masaki+Hada,male
Stuart P.+Lloyd,male
Stefan+von Kann,male
Max+Goodrich,male
Vishagan+Ratnaswamy,male
Josef+Zähringer,male
Angela J.+Langdon,female
