Second Article,First Article,Cited
10.1103/PhysRevC.93.014617,10.1103/PhysRevC.86.014618,1
10.1103/PhysRev.41.24,10.1103/PhysRev.37.1320,1
10.1103/PhysRevE.92.012119,10.1103/PhysRevE.91.022110,1
10.1103/PhysRevD.75.024020,10.1103/PhysRevD.72.104017,1
10.1103/PhysRevE.92.042138,10.1103/PhysRevE.90.062921,1
10.1103/PhysRevD.84.064043,10.1103/PhysRevD.80.044033,1
10.1103/PhysRevD.88.044006,10.1103/PhysRevD.84.043524,1
10.1103/PhysRevB.60.16977,10.1103/PhysRevB.57.R693,1
10.1103/RevModPhys.20.585,10.1103/RevModPhys.16.1,0
10.1103/PhysRev.119.1027,10.1103/PhysRev.105.1262,0
10.1103/RevModPhys.26.95,10.1103/PhysRev.88.1213,1
10.1103/PhysRevD.93.086003,10.1103/PhysRevD.91.126003,1
10.1103/PhysRevA.88.013802,10.1103/PhysRevA.79.013830,0
10.1103/PhysRevD.92.044022,10.1103/PhysRevD.80.044033,0
10.1103/PhysRevE.47.4067,10.1103/PhysRevE.47.106,1
10.1103/PhysRev.79.743,10.1103/PhysRev.75.1619,0
10.1103/PhysRevE.76.031109,10.1103/PhysRevE.74.051121,1
10.1103/PhysRevE.64.066303,10.1103/RevModPhys.65.1393,1
10.1103/PhysRevD.94.074028,10.1103/PhysRevD.94.073001,0
10.1103/PhysRevD.82.084023,10.1103/PhysRevD.80.044033,0
10.1103/PhysRev.56.153,10.1103/RevModPhys.11.65,0
10.1103/RevModPhys.21.271,10.1103/RevModPhys.16.1,0
10.1103/PhysRevD.86.044026,10.1103/PhysRevD.80.044033,1
10.1103/PhysRevB.94.064523,10.1103/PhysRevB.90.235107,1
10.1103/RevModPhys.18.513,10.1103/RevModPhys.16.1,1
10.1103/PhysRevB.87.184420,10.1103/PhysRevB.86.184409,1
10.1103/PhysRevB.88.224418,10.1103/PhysRevB.79.214429,1
10.1103/PhysRevD.86.094509,10.1103/PhysRevD.86.074509,0
10.1103/PhysRevA.75.052324,10.1103/PhysRevA.75.032102,0
10.1103/PhysRevA.80.033844,10.1103/PhysRevA.77.013803,1
10.1103/PhysRevE.67.026322,10.1103/PhysRevE.62.3581,1
10.1103/PhysRevB.92.214113,10.1103/PhysRevB.87.075409,1
10.1103/PhysRevB.91.195121,10.1103/PhysRevB.87.195117,1
10.1103/PhysRevC.94.044902,10.1103/PhysRevC.92.014908,1
10.1103/RevModPhys.86.1283,10.1103/PhysRevD.86.084050,1
10.1103/PhysRevA.75.023410,10.1103/PhysRev.105.1262,1
10.1103/RevModPhys.49.341,10.1103/PhysRevA.9.1412,1
10.1103/PhysRevD.76.064017,10.1103/PhysRevD.72.104017,1
10.1103/PhysRevD.94.103510,10.1103/PhysRevD.93.063501,1
10.1103/PhysRev.45.503,10.1103/PhysRev.37.1320,0
10.1103/PhysRevA.75.012306,10.1103/PhysRevLett.96.220502,1
10.1103/PhysRevD.91.024012,10.1103/PhysRevD.82.104031,1
10.1103/PhysRevD.88.074017,10.1103/PhysRevD.86.094032,1
10.1103/PhysRevA.70.052502,10.1103/PhysRevA.52.227,1
10.1103/PhysRevE.50.2881,10.1103/RevModPhys.65.1393,1
10.1103/PhysRevD.33.2233,10.1103/PhysRevLett.54.2059,0
10.1103/PhysRevA.85.023613,10.1103/PhysRevE.84.056202,0
10.1103/PhysRevD.84.076006,10.1103/PhysRevD.82.016002,0
10.1103/PhysRev.48.18,10.1103/PhysRev.46.749,1
