Second Article,First Article,Cited
10.1103/PhysRevD.31.3221,10.1103/PhysRevD.29.2387,0
10.1103/PhysRevD.70.025005,10.1103/PhysRevD.64.085002,1
10.1103/PhysRevD.31.2559,10.1103/PhysRevD.29.2387,1
10.1103/PhysRevD.32.2113,10.1103/PhysRevD.29.2387,1
10.1103/RevModPhys.23.10,10.1103/RevModPhys.22.386,0
10.1103/PhysRevD.32.2113,10.1103/PhysRevD.31.2559,1
10.1103/PhysRev.70.850,10.1103/PhysRev.69.78,0
10.1103/PhysRevD.31.3221,10.1103/PhysRevD.31.2559,0
10.1103/PhysRev.87.1091,10.1103/RevModPhys.22.386,1
10.1103/PhysRevD.93.114030,10.1103/PhysRevD.91.094010,1
