Article ID - Female,Article ID - Male,degree - Female,degree - Male,FF citations,MF citations,FM citations,MM citations
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.6.2177,10.1103/PhysRevC.2.2444,4,2,2,0,1,1
10.1103/PhysRevC.89.024302,10.1103/PhysRevC.75.044310,9,10,2,0,0,6
10.1103/PhysRevC.94.024326,10.1103/PhysRevC.75.044310,0,10,0,0,0,6
10.1103/PhysRevC.87.064308,10.1103/PhysRevC.72.064308,1,19,0,0,0,3
10.1103/PhysRevC.84.034309,10.1103/PhysRevC.37.2802,9,10,0,3,0,3
10.1103/PhysRevC.74.014312,10.1103/PhysRevC.73.031301,41,48,0,2,3,2
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.91.041001,2,3,1,0,0,0
10.1103/PhysRevC.92.044914,10.1103/PhysRevC.85.034901,2,42,0,1,0,28
10.1103/PhysRevC.90.034913,10.1103/PhysRevC.85.034901,4,42,1,1,0,28
10.1103/PhysRevC.89.054915,10.1103/PhysRevC.71.034905,0,7,0,0,2,5
10.1103/PhysRevC.82.027307,10.1103/PhysRevC.71.064303,2,8,1,0,2,1
10.1103/PhysRevC.83.064304,10.1103/PhysRevC.71.064303,5,8,0,1,2,1
10.1103/PhysRevC.8.1167,10.1103/PhysRevC.6.426,1,3,1,0,0,2
10.1103/PhysRevC.74.014312,10.1103/PhysRevC.73.031301,41,48,0,2,3,2
10.1103/PhysRevC.94.024326,10.1103/PhysRevC.90.054308,0,1,0,0,0,0
10.1103/PhysRevC.91.024615,10.1103/PhysRevC.85.024320,0,2,0,0,0,0
10.1103/PhysRevC.91.024615,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.6.1608,10.1103/PhysRevC.6.748,13,12,0,1,0,3
10.1103/PhysRevC.85.044320,10.1103/PhysRevC.85.044308,7,5,2,0,0,0
10.1103/PhysRevC.94.024326,10.1103/PhysRevC.85.044308,0,5,0,0,0,0
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.17.827,10.1103/PhysRevC.6.426,0,3,0,0,0,2
10.1103/PhysRevC.82.027307,10.1103/PhysRevC.80.014307,2,0,1,0,0,0
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.80.044324,2,5,1,0,0,3
10.1103/PhysRevC.83.064304,10.1103/PhysRevC.80.014307,5,0,0,1,0,0
10.1103/PhysRevC.84.044910,10.1103/PhysRevC.74.024903,4,20,4,0,2,14
10.1103/PhysRevC.82.034902,10.1103/PhysRevC.83.045201,13,13,0,7,1,2
10.1103/PhysRevC.89.054915,10.1103/PhysRevC.71.034905,0,7,0,0,2,5
10.1103/PhysRevC.79.054911,10.1103/PhysRevC.83.045201,22,13,2,9,1,2
10.1103/PhysRevC.86.045803,10.1103/PhysRevC.65.045805,2,8,1,1,2,1
10.1103/PhysRevC.92.064326,10.1103/PhysRevC.85.044308,0,5,0,0,0,0
10.1103/PhysRevC.82.025801,10.1103/PhysRevC.81.025804,12,8,2,4,0,2
10.1103/PhysRevC.75.015805,10.1103/PhysRevC.49.2805,4,0,0,2,0,0
10.1103/PhysRevC.94.034322,10.1103/PhysRevC.93.049801,0,0,0,0,0,0
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.80.044324,2,5,1,0,0,3
10.1103/PhysRevC.93.044915,10.1103/PhysRevC.88.054902,0,2,0,0,0,2
10.1103/PhysRevC.94.064905,10.1103/PhysRevC.92.014908,0,7,0,0,1,4
10.1103/PhysRevC.94.064905,10.1103/PhysRevC.94.044902,0,0,0,0,0,0
10.1103/PhysRevC.72.068202,10.1103/PhysRevC.56.510,2,13,0,1,0,2
10.1103/PhysRevC.88.057603,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.94.011901,10.1103/PhysRevC.88.054902,0,2,0,0,0,2
10.1103/PhysRevC.56.1467,10.1103/PhysRevC.44.1171,1,1,0,0,0,0
10.1103/PhysRevC.94.054317,10.1103/PhysRevC.50.2815,0,4,0,0,0,0
10.1103/PhysRevC.94.015808,10.1103/PhysRevC.81.025804,0,8,0,0,0,2
10.1103/PhysRevC.82.025801,10.1103/PhysRevC.81.025804,12,8,2,4,0,2
10.1103/PhysRevC.94.034322,10.1103/PhysRevC.73.044309,0,53,0,0,3,15
10.1103/PhysRevC.84.064310,10.1103/PhysRevC.80.044324,10,5,0,0,0,3
10.1103/PhysRevC.93.025806,10.1103/PhysRevC.91.055807,6,4,1,1,0,1
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.84.044613,0,8,0,0,2,2
10.1103/PhysRevC.91.024615,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.88.057603,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.83.064602,10.1103/PhysRevC.83.044615,1,3,0,0,0,1
10.1103/PhysRevC.87.064308,10.1103/PhysRevC.72.064308,1,19,0,0,0,3
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.73.044317,10.1103/PhysRevC.72.064308,5,19,1,1,0,3
10.1103/PhysRevC.88.034320,10.1103/PhysRevC.86.044330,7,9,2,0,1,0
10.1103/PhysRevC.90.064322,10.1103/PhysRevC.37.2802,0,10,0,0,0,3
10.1103/PhysRevC.80.064909,10.1103/PhysRevC.80.041901,13,1,8,4,0,1
10.1103/PhysRevC.80.064909,10.1103/PhysRevC.75.064906,13,30,8,4,0,6
10.1103/PhysRevC.91.035201,10.1103/PhysRevC.83.064608,0,1,0,0,0,1
10.1103/PhysRevC.92.064326,10.1103/PhysRevC.45.R2548,0,2,0,0,0,0
10.1103/PhysRevC.63.034609,10.1103/PhysRevC.59.3256,10,25,1,1,0,6
10.1103/PhysRevC.81.038501,10.1103/PhysRevC.75.014003,1,3,0,0,0,3
10.1103/PhysRevC.81.038501,10.1103/PhysRevC.80.044315,1,1,0,0,0,1
10.1103/PhysRevC.81.038501,10.1103/PhysRevC.77.021001,1,1,0,0,0,1
10.1103/PhysRevC.63.034609,10.1103/PhysRevC.56.2672,10,34,1,1,0,7
10.1103/PhysRevC.83.017001,10.1103/PhysRevC.76.034002,2,16,0,0,2,1
10.1103/PhysRevC.84.064310,10.1103/PhysRevC.79.054303,10,6,0,0,0,1
10.1103/PhysRevC.85.044320,10.1103/PhysRevC.70.054324,7,15,2,0,2,4
10.1103/PhysRevC.92.044914,10.1103/PhysRevC.80.041901,2,1,0,1,0,1
10.1103/PhysRevC.92.044914,10.1103/PhysRevC.75.064906,2,30,0,1,0,6
10.1103/PhysRevC.84.065804,10.1103/PhysRevC.81.025804,1,8,1,0,0,2
10.1103/PhysRevC.94.011901,10.1103/PhysRevC.78.034908,0,24,0,0,2,20
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.91.041001,2,3,1,0,0,0
10.1103/PhysRevC.94.011901,10.1103/PhysRevC.78.014903,0,8,0,0,0,3
10.1103/PhysRevC.77.015810,10.1103/PhysRevC.84.065810,8,24,0,1,3,5
10.1103/PhysRevC.88.034320,10.1103/PhysRevC.79.054007,7,14,2,0,1,0
10.1103/PhysRevC.94.034322,10.1103/PhysRevC.93.049801,0,0,0,0,0,0
10.1103/PhysRevC.90.055803,10.1103/PhysRevC.81.025804,1,8,1,0,0,2
10.1103/PhysRevC.91.024615,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.88.057603,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.6.1608,10.1103/PhysRevC.6.631,13,46,0,1,0,5
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.84.024317,10.1103/PhysRevC.71.044607,0,2,0,0,0,2
10.1103/PhysRevC.91.014315,10.1103/PhysRevC.71.044607,4,2,0,0,0,2
10.1103/PhysRevC.91.065205,10.1103/PhysRevC.90.021901,3,10,0,0,0,4
10.1103/PhysRevC.84.065804,10.1103/PhysRevC.73.015805,1,0,1,0,0,0
10.1103/PhysRevC.86.045803,10.1103/PhysRevC.73.015805,2,0,1,1,0,0
10.1103/PhysRevC.89.035807,10.1103/PhysRevC.73.015805,1,0,0,1,0,0
10.1103/PhysRevC.84.065804,10.1103/PhysRevC.70.065804,1,12,1,0,0,3
10.1103/PhysRevC.84.065804,10.1103/PhysRevC.77.015810,1,8,1,0,0,1
10.1103/PhysRevC.84.065804,10.1103/PhysRevC.65.045805,1,8,1,0,2,1
10.1103/PhysRevC.72.068202,10.1103/PhysRevC.52.R1750,2,11,0,1,0,4
10.1103/PhysRevC.72.068202,10.1103/PhysRevC.56.510,2,13,0,1,0,2
10.1103/PhysRevC.19.2392,10.1103/PhysRevC.46.2098,0,2,0,0,0,0
10.1103/PhysRevC.86.045803,10.1103/PhysRevC.70.065804,2,12,1,1,0,3
10.1103/PhysRevC.91.024615,10.1103/PhysRevC.85.024320,0,2,0,0,0,0
10.1103/PhysRevC.91.024615,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.89.035807,10.1103/PhysRevC.70.065804,1,12,0,1,0,3
10.1103/PhysRevC.74.064907,10.1103/PhysRevC.63.054907,30,34,8,14,1,13
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.94.044908,10.1103/PhysRevC.85.064908,0,15,0,0,2,9
10.1103/PhysRevC.94.044908,10.1103/PhysRevC.85.044903,0,19,0,0,2,15
10.1103/PhysRevC.94.044908,10.1103/PhysRevC.86.061901,0,9,0,0,0,7
10.1103/PhysRevC.83.064304,10.1103/PhysRevC.83.065801,5,3,0,1,0,1
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.79.044308,2,15,1,0,1,5
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.67.024901,0,2,0,0,0,2
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.67.024901,0,2,0,0,0,2
10.1103/PhysRevC.91.024615,10.1103/PhysRevC.85.024320,0,2,0,0,0,0
10.1103/PhysRevC.91.024615,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.81.021304,10.1103/PhysRevC.72.064308,22,19,0,2,0,3
10.1103/PhysRevC.84.044307,10.1103/PhysRevC.76.025801,3,15,1,1,1,2
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.84.044307,10.1103/PhysRevC.56.2789,3,12,1,1,0,7
10.1103/PhysRevC.73.044317,10.1103/PhysRevC.72.064308,5,19,1,1,0,3
10.1103/PhysRevC.92.044914,10.1103/PhysRevC.89.024907,2,3,0,1,0,0
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.80.044324,2,5,1,0,0,3
10.1103/PhysRevC.90.034913,10.1103/PhysRevC.89.024907,4,3,1,1,0,0
10.1103/PhysRevC.84.065804,10.1103/PhysRevC.77.015810,1,8,1,0,0,1
10.1103/PhysRevC.85.021303,10.1103/PhysRevC.84.037607,15,2,2,1,0,2
10.1103/PhysRevC.86.045803,10.1103/PhysRevC.77.015810,2,8,1,1,0,1
10.1103/PhysRevC.65.054603,10.1103/PhysRevC.20.773,1,24,0,0,0,5
10.1103/PhysRevC.61.054613,10.1103/PhysRevC.20.773,1,24,1,0,0,5
10.1103/PhysRevC.87.011602,10.1103/PhysRevC.80.014307,4,0,0,0,0,0
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.46.R1595,10.1103/PhysRevC.49.R1747,2,2,0,0,0,2
10.1103/PhysRevC.88.034320,10.1103/PhysRevC.86.044330,7,9,2,0,1,0
10.1103/PhysRevC.84.065804,10.1103/PhysRevC.79.045811,1,1,1,0,1,0
10.1103/PhysRevC.84.065804,10.1103/PhysRevC.77.015810,1,8,1,0,0,1
10.1103/PhysRevC.84.065804,10.1103/PhysRevC.65.045805,1,8,1,0,2,1
10.1103/PhysRevC.82.034902,10.1103/PhysRevC.83.045201,13,13,0,7,1,2
10.1103/PhysRevC.89.024302,10.1103/PhysRevC.87.054330,9,3,2,0,0,1
10.1103/PhysRevC.93.032801,10.1103/PhysRevC.79.045811,1,1,0,0,1,0
10.1103/PhysRevC.86.045803,10.1103/PhysRevC.77.015810,2,8,1,1,0,1
10.1103/PhysRevC.91.024615,10.1103/PhysRevC.85.024320,0,2,0,0,0,0
10.1103/PhysRevC.91.024615,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.89.035807,10.1103/PhysRevC.77.015810,1,8,0,1,0,1
10.1103/PhysRevC.85.044320,10.1103/PhysRevC.85.044308,7,5,2,0,0,0
10.1103/PhysRevC.85.044320,10.1103/PhysRevC.83.044319,7,8,2,0,1,2
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.88.034320,10.1103/PhysRevC.86.044330,7,9,2,0,1,0
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.93.044915,10.1103/PhysRevC.83.024908,0,14,0,0,0,13
10.1103/PhysRevC.91.024615,10.1103/PhysRevC.85.024320,0,2,0,0,0,0
10.1103/PhysRevC.88.057603,10.1103/PhysRevC.85.024320,0,2,0,0,0,0
10.1103/PhysRevC.93.044915,10.1103/PhysRevC.85.044903,0,19,0,0,2,15
10.1103/PhysRevC.93.044915,10.1103/PhysRevC.88.054902,0,2,0,0,0,2
10.1103/PhysRevC.89.054915,10.1103/PhysRevC.68.034913,0,192,0,0,6,80
10.1103/PhysRevC.92.044914,10.1103/PhysRevC.92.014908,2,7,0,1,1,4
10.1103/PhysRevC.88.034320,10.1103/PhysRevC.86.044330,7,9,2,0,1,0
10.1103/PhysRevC.74.014312,10.1103/PhysRevC.73.031301,41,48,0,2,3,2
10.1103/PhysRevC.91.024615,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.88.057603,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.44.1040,10.1103/PhysRevC.34.2373,1,14,0,0,0,3
10.1103/PhysRevC.83.064602,10.1103/PhysRevC.83.044615,1,3,0,0,0,1
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.84.065804,10.1103/PhysRevC.81.025804,1,8,1,0,0,2
10.1103/PhysRevC.88.034320,10.1103/PhysRevC.86.044330,7,9,2,0,1,0
10.1103/PhysRevC.8.1433,10.1103/PhysRevC.2.742,2,2,0,1,0,0
10.1103/PhysRevC.44.1040,10.1103/PhysRevC.40.2416,1,1,0,0,0,1
10.1103/PhysRevC.90.064322,10.1103/PhysRevC.86.065802,0,3,0,0,0,0
10.1103/PhysRevC.93.044915,10.1103/PhysRevC.79.044907,0,0,0,0,0,0
10.1103/PhysRevC.44.1040,10.1103/PhysRevC.28.2480,1,14,0,0,1,1
