Second Article,First Article,Cited
10.1103/PhysRevD.86.094509,10.1103/PhysRevD.86.074509,0
10.1103/RevModPhys.84.1527,10.1103/RevModPhys.80.633,1
10.1103/PhysRevLett.116.031303,10.1103/PhysRevD.92.123531,0
10.1103/PhysRevC.41.318,10.1103/PhysRevC.40.945,1
10.1103/PhysRevA.87.052326,10.1103/PhysRevA.87.012306,0
10.1103/RevModPhys.88.035009,10.1103/RevModPhys.84.1527,1
10.1103/PhysRevB.80.245441,10.1103/PhysRevB.79.085122,1
10.1103/PhysRevE.79.051604,10.1103/PhysRevB.77.235423,1
10.1103/PhysRevB.76.165408,10.1103/PhysRevB.67.075408,1
10.1103/PhysRevB.82.195113,10.1103/PhysRevB.79.085122,1
10.1103/PhysRevA.88.033606,10.1103/PhysRevLett.106.100402,1
10.1103/RevModPhys.77.1,10.1103/RevModPhys.72.351,1
10.1103/PhysRevB.82.195113,10.1103/PhysRevB.80.245441,1
10.1103/PhysRevD.76.094003,10.1103/PhysRevD.73.014022,1
10.1103/PhysRevE.88.032402,10.1103/PhysRevE.87.052806,1
10.1103/PhysRevA.90.013828,10.1103/PhysRevLett.111.113902,1
10.1103/PhysRevC.88.064002,10.1103/PhysRevC.78.014005,1
10.1103/PhysRevB.84.115407,10.1103/PhysRevB.82.205113,1
10.1103/PhysRevE.64.066303,10.1103/RevModPhys.65.1393,1
10.1103/PhysRevD.69.057301,10.1103/PhysRevD.67.073011,1
10.1103/PhysRevE.82.061503,10.1103/PhysRevE.82.061504,1
10.1103/PhysRevE.94.032121,10.1103/PhysRevE.92.022136,1
10.1103/PhysRevA.34.3063,10.1103/PhysRevA.30.3078,1
10.1103/PhysRevD.75.024020,10.1103/PhysRevD.72.104017,1
10.1103/PhysRevB.87.184420,10.1103/PhysRevB.86.184409,1
10.1103/PhysRevD.94.054020,10.1103/PhysRevD.93.045013,1
10.1103/PhysRevA.94.012123,10.1103/PhysRevA.93.023632,1
10.1103/RevModPhys.20.585,10.1103/RevModPhys.16.1,0
10.1103/PhysRevE.86.046323,10.1103/PhysRevE.81.046318,1
10.1103/PhysRevE.85.011131,10.1103/PhysRevE.80.041120,1
10.1103/PhysRevB.80.075119,10.1103/PhysRevB.75.245107,1
