Name,Citation Count
Marcus+Petschlies,25
Olaf+Leupold,48
Alasdair+Routh,6
Moshe+Lindner,7
Paweł+Pierański,7
Itai+Orr,2
Jan+van Esch,1
Frank Lennart+Bakker,38
Zuzana+Mitróová,1
Christopher+Czaban,1
Bernd+Rosenow,607
Riccardo+Pagnani,17
Yusaku+Iwasawa,5
Didier+Ravot,1
Haim+Novogrodsky,4
Federico+Pettazzi,6
Zohar+Ringel,219
Jacob+Neufeld,364
Jezabel+Curbelo,3
Adam M.+Becker,11
A. D. Prasad+Rao,2
Blas R.+Alascio,4
Hadi+Rankoohi,0
François+Montanet,1
Rudolf+Schäfer,30
Stefan+Buhrandt,25
Hilda+Mercado-Uribe,0
Eldon L.+Christensen,1
Nilay+Hazari,2
Seppo O.+Sari,5
Christopher+Jennings,1
Manuel+Gruber,0
Takayuki+Nozaki,2
Samuel A.+Dickson,34
Yusuke+Tokunaga,59
Yuki+Sughiyama,3
Hirotaka+Toyoshima,0
Matthew+Choptuik,30
Samuel+Ruben,108
Claudio Alberto Torres+Suazo,0
Vasil+Tiberkevich,295
Wolfgang F.+Schmidt,0
Igor E.+Dikshtein,6
Pablo Aitor+Postigo,3
Palash+Bharadwaj,157
Gautam+Mukherjee,1
Nick+Weppenaar,10
Giulio+Cerullo,34
Halie+Martin,0
Noel+Perez,0
Edgar Josué+Landinez Borda,0
Adam+Latosiński,0
Federica+LoVerso,4
Taka H.+Nishino,7
Orson L.+Anderson,28
Timothy J.+Karle,15
Madhura+Joglekar,1
Georg+Kastlunger,3
Pavel+Bushev,87
Stefan+Schymura,8
Alexei V.+Fedotov,10
Rasil+Warnakulasooriya,10
Igor I.+Ryabtsev,0
Hiroshi+Yoshikawa,22
Marc+Henneaux,772
Sergey S.+Kurennoy,30
Kenneth W.+Sulston,1
Charles S.+Campbell,8
Patrycja+Paruch,0
Konstantinos+Tzirakis,17
Christos G.+Tsagas,149
Clivia M.+Sotomayor Torres,7
Warren+Grice,33
Norris+Johnston,2
Alexander+Leyderman,1
Chiara+Perazzolli,7
Bjørn+Skjetne,8
Hans E.+Suess,441
Adrian+Staicu,7
Nikolay+Kolev,23
Shunichi+Hishita,16
C. Pascual+Garcia,9
Margaret M.+Ramsey,22
Joel L.+Plawsky,4
Elnur+Hajiyev,9
Stefen+Lämmer,3
Rafael Hernández+Heredero,14
Shoichi+Nagata,297
Anna+Hiley,3
Eduardo+Zambrano,1
J. Colin+Hill,15
Rafal+Topolnicki,0
Amena L. T.+Khan,16
Rustam+Ibadov,7
Anton+Artemyev,8
Ashwani+Sharma,1
Marcello+Pavan,6
Katarzyna+Wójcik,14
Koichi+Shimakawa,8
Catherine+Barentin,30
José Manuel+Gordillo,27
Martin+Siegert,413
Vladimir+Fal’ko,49
Jerry+DeLapp,70
Matthew R.+Dietrich,0
Scott R.+Anderson,38
Nobuo+Wada,139
Ellen+Moons,2
Benny+Lautrup,23
Dana Z.+Anderson,385
Jonas L.+Hansen,47
Barbara+Piȩtka,0
JACK R.+MACDONALD,10
Glen+McCarthy,33
Carey+Briggs,3
Alain+Bulou,8
TOSHIKO+YUASA,2
Sergei+Bravyi,21
Ralph+Carey,1
Albert Lewis+Fitch.,4
Eckehard+Schöll,490
Rico+Pohle,0
Piotr+Migdał,22
Charles S.+Adams,182
Knut J.+Børve,1
Alexei+Tsvelik,20
Marcus+Elstner,20
Masaki+Hada,8
Toshiyuki+Kanazawa,13
Warner+Fite,50
Peter J.+Heaney,33
Ningning+Tang,11
Dmitry+Bratsun,1
Jeremi+Dauchet,29
Tadashi+Takemori,9
William K.+Wootters,7036
Theodore C.+Harman,8
James+Dent,17
W. Ted+Masselink,83
H̊akan+Olin,2
Hubert+Ceeh,7
Bennett D.+Marshall,4
Sergey+Ovchinnikov,1
Valentin+Barna,9
Judith+Petri,1
Joydev+Lahiri,4
William E.+Hatfield,13
Yuching+Tu,28
Fahad+Mahmood,16
Alexandre+Kudlinski,7
Masayuki+Shimojo,2
Nikolay+Panev,2
Mathieu+Leroux,51
Michael G.+Christel,0
Tanumoy+Pramanik,20
Fortunato Silva+de Menezes,0
Giancarlo+Ferrera,99
Naoki+Koide,20
Armando+Perez-Leija,34
Sachin+Goyal,1
Szilvia+Nagy,15
Arlene C.+Aguilar,19
Antoine+Llebaria,1
James S.+Magnuson,1
Ferran+Garcia,2
Biplab+Pal,4
Noriyuki+Shimoyama,8
Torsten+Hahn,3
Shigeaki+Utsumi,1
Doron+Shlomo,1
Rajib+Biswas,0
M. Malek+Mansour,122
Gilles+Vertongen,13
Marcelo+de Oliveira Souza,1
Tohru+Higuchi,3
Amy+Novick-Cohen,2
Pat+Scott,155
Rebekka+König,0
Moses+Lee,85
Marc+Palmer,16
James A.+Van Allen,44
Tomohiro+Kawamura,2
Alexei+Vasiliev,5
Alexander T.+Blumenau,0
Kamil+Orucoglu,0
Vladimir M.+Bedanov,177
Peter+Lichtner,6
Karin+John,25
Yair+Arian,4
Hsiang-hsuan+Hung,54
Koichi+Semba,0
Giuseppe+Arcovito,2
Wiendelt+Steenbergen,0
Narda+Ben-Horin,9
Takashi+Mizutani,31
Jorge+Mondejar,1
Kent F.+Milfeld,27
Peter+Schuck,187
Naresh+Chand,70
Marco+Roncadelli,84
