Name,CitationsPerPaper
Marcus+Petschlies,8.333333333333334
Olaf+Leupold,9.6
Alasdair+Routh,3.0
Moshe+Lindner,3.5
Paweł+Pierański,7.0
Itai+Orr,2.0
Jan+van Esch,0.5
Frank Lennart+Bakker,19.0
Zuzana+Mitróová,1.0
Christopher+Czaban,0.5
Bernd+Rosenow,12.645833333333334
Riccardo+Pagnani,17.0
Yusaku+Iwasawa,5.0
Didier+Ravot,1.0
Haim+Novogrodsky,4.0
Federico+Pettazzi,3.0
Zohar+Ringel,19.90909090909091
Jacob+Neufeld,7.913043478260869
Jezabel+Curbelo,3.0
Adam M.+Becker,11.0
A. D. Prasad+Rao,1.0
Blas R.+Alascio,4.0
Hadi+Rankoohi,0.0
François+Montanet,0.5
Rudolf+Schäfer,2.3076923076923075
Stefan+Buhrandt,6.25
Hilda+Mercado-Uribe,0.0
Eldon L.+Christensen,1.0
Nilay+Hazari,1.0
Seppo O.+Sari,2.5
Christopher+Jennings,1.0
Manuel+Gruber,0.0
Takayuki+Nozaki,0.6666666666666666
Samuel A.+Dickson,17.0
Yusuke+Tokunaga,9.833333333333334
Yuki+Sughiyama,0.75
Hirotaka+Toyoshima,0.0
Matthew+Choptuik,30.0
Samuel+Ruben,13.5
Claudio Alberto Torres+Suazo,0.0
Vasil+Tiberkevich,14.75
Wolfgang F.+Schmidt,0.0
Igor E.+Dikshtein,3.0
Pablo Aitor+Postigo,3.0
Palash+Bharadwaj,52.333333333333336
Gautam+Mukherjee,1.0
Nick+Weppenaar,10.0
Giulio+Cerullo,4.857142857142857
Halie+Martin,0.0
Noel+Perez,0.0
Edgar Josué+Landinez Borda,0.0
Adam+Latosiński,0.0
Federica+LoVerso,2.0
Taka H.+Nishino,7.0
Orson L.+Anderson,14.0
Timothy J.+Karle,15.0
Madhura+Joglekar,0.5
Georg+Kastlunger,1.0
Pavel+Bushev,21.75
Stefan+Schymura,8.0
Alexei V.+Fedotov,2.5
Rasil+Warnakulasooriya,2.5
Igor I.+Ryabtsev,0.0
Hiroshi+Yoshikawa,11.0
Marc+Henneaux,17.155555555555555
Sergey S.+Kurennoy,2.727272727272727
Kenneth W.+Sulston,1.0
Charles S.+Campbell,8.0
Patrycja+Paruch,0.0
Konstantinos+Tzirakis,8.5
Christos G.+Tsagas,6.208333333333333
Clivia M.+Sotomayor Torres,3.5
Warren+Grice,11.0
Norris+Johnston,1.0
Alexander+Leyderman,1.0
Chiara+Perazzolli,3.5
Bjørn+Skjetne,8.0
Hans E.+Suess,63.0
Adrian+Staicu,1.4
Nikolay+Kolev,7.666666666666667
Shunichi+Hishita,4.0
C. Pascual+Garcia,9.0
Margaret M.+Ramsey,11.0
Joel L.+Plawsky,2.0
Elnur+Hajiyev,3.0
Stefen+Lämmer,3.0
Rafael Hernández+Heredero,14.0
Shoichi+Nagata,24.75
Anna+Hiley,3.0
Eduardo+Zambrano,0.5
J. Colin+Hill,1.6666666666666667
Rafal+Topolnicki,0.0
Amena L. T.+Khan,8.0
Rustam+Ibadov,3.5
Anton+Artemyev,2.6666666666666665
Ashwani+Sharma,1.0
Marcello+Pavan,6.0
Katarzyna+Wójcik,14.0
Koichi+Shimakawa,1.6
Catherine+Barentin,10.0
José Manuel+Gordillo,6.75
Martin+Siegert,31.76923076923077
Vladimir+Fal’ko,9.8
Jerry+DeLapp,70.0
Matthew R.+Dietrich,0.0
Scott R.+Anderson,12.666666666666666
Nobuo+Wada,9.266666666666667
Ellen+Moons,2.0
Benny+Lautrup,5.75
Dana Z.+Anderson,19.25
Jonas L.+Hansen,23.5
Barbara+Piȩtka,0.0
JACK R.+MACDONALD,5.0
Glen+McCarthy,8.25
Carey+Briggs,3.0
Alain+Bulou,8.0
TOSHIKO+YUASA,2.0
Sergei+Bravyi,10.5
Ralph+Carey,1.0
Albert Lewis+Fitch.,2.0
Eckehard+Schöll,8.032786885245901
Rico+Pohle,0.0
Piotr+Migdał,4.4
Charles S.+Adams,14.0
Knut J.+Børve,1.0
Alexei+Tsvelik,10.0
Marcus+Elstner,3.3333333333333335
Masaki+Hada,4.0
Toshiyuki+Kanazawa,13.0
Warner+Fite,16.666666666666668
Peter J.+Heaney,16.5
Ningning+Tang,11.0
Dmitry+Bratsun,1.0
Jeremi+Dauchet,29.0
Tadashi+Takemori,1.8
William K.+Wootters,293.1666666666667
Theodore C.+Harman,4.0
James+Dent,4.25
W. Ted+Masselink,41.5
H̊akan+Olin,2.0
Hubert+Ceeh,3.5
Bennett D.+Marshall,1.0
Sergey+Ovchinnikov,1.0
Valentin+Barna,3.0
Judith+Petri,1.0
Joydev+Lahiri,1.0
William E.+Hatfield,2.6
Yuching+Tu,14.0
Fahad+Mahmood,8.0
Alexandre+Kudlinski,2.3333333333333335
Masayuki+Shimojo,0.6666666666666666
Nikolay+Panev,2.0
Mathieu+Leroux,12.75
Michael G.+Christel,0.0
Tanumoy+Pramanik,6.666666666666667
Fortunato Silva+de Menezes,0.0
Giancarlo+Ferrera,14.142857142857142
Naoki+Koide,20.0
Armando+Perez-Leija,4.25
Sachin+Goyal,1.0
Szilvia+Nagy,7.5
Arlene C.+Aguilar,19.0
Antoine+Llebaria,1.0
James S.+Magnuson,1.0
Ferran+Garcia,2.0
Biplab+Pal,2.0
Noriyuki+Shimoyama,8.0
Torsten+Hahn,1.0
Shigeaki+Utsumi,1.0
Doron+Shlomo,1.0
Rajib+Biswas,0.0
M. Malek+Mansour,9.384615384615385
Gilles+Vertongen,13.0
Marcelo+de Oliveira Souza,1.0
Tohru+Higuchi,3.0
Amy+Novick-Cohen,2.0
Pat+Scott,11.923076923076923
Rebekka+König,0.0
Moses+Lee,17.0
Marc+Palmer,16.0
James A.+Van Allen,7.333333333333333
Tomohiro+Kawamura,2.0
Alexei+Vasiliev,2.5
Alexander T.+Blumenau,0.0
Kamil+Orucoglu,0.0
Vladimir M.+Bedanov,177.0
Peter+Lichtner,3.0
Karin+John,3.5714285714285716
Yair+Arian,2.0
Hsiang-hsuan+Hung,13.5
Koichi+Semba,0.0
Giuseppe+Arcovito,1.0
Wiendelt+Steenbergen,0.0
Narda+Ben-Horin,9.0
Takashi+Mizutani,15.5
Jorge+Mondejar,0.5
Kent F.+Milfeld,27.0
Peter+Schuck,7.791666666666667
Naresh+Chand,70.0
Marco+Roncadelli,7.636363636363637
Dimitris N.+Mihailidis,3.0
F. L. Bello+Garrote,1.5
Konrad+Thürmer,7.75
Maciej+Sawicki,12.666666666666666
Bettina V.+Lotsch,0.0
Bilge+Yildiz,3.75
Deshdeep+Sahdev,5.583333333333333
Yasuo+Kuniyoshi,1.1666666666666667
Colin G. W.+Thomas,1.0
Stanley+Jernow,0.0
Rafael+Gutierrez,2.0
Henning+Döscher,1.6666666666666667
Hajime+Fukuda,1.5
Osamu+Morimoto,1.0
Satoshi+Okuzumi,3.5
Alka B.+Garg,2.0
Natasha+Gabay,0.0
Darin+Beigie,6.5
Jukka+Tulkki,11.9
Christopher+Grossert,26.5
Frederick+Raab,3.0
Merav+Stern,7.0
Pavel E.+Kornilovitch,0.0
Piotr+Chudzinski,2.0
Junichiro+Yasuda,9.0
Vanessa E.+Fairbank,2.0
Alexander J.+Shuskus,11.0
Kym+Eden,3.0
Katerina+Chatziioannou,10.142857142857142
Florian+Geier,0.0
Zoltan+Paulini,13.0
Amy+Lien,2.0
Claus+Metzner,2.5
Marie-Aude+Measson,4.0
M. Aparicio+Alcalde,8.0
Dipankar+Chakrabarti,4.0
Peter+Kafalas,6.0
Anh Khoa Augustin+Lu,0.0
Stefano+Braccini,3.0
Ameya Deepak+Rane,1.0
Kenneth B.+Mitchell,22.0
Sona+Prakash,19.0
Paolo+Serra,8.555555555555555
Andreas+Herrmann,7.0
Stefan+Bretschneider,8.0
Adolfo J.+Banchio,7.0
Masa+Tsuchiya,0.5
Gian Paolo+Brivio,3.0
Olivier+Boisron,6.0
Wilfried+Assenmacher,0.0
Romeu+Castro,0.0
Julie+Goulet,0.0
Angelica M.+Stacy,35.42857142857143
Aron C.+Wall,7.473684210526316
Tyler J.+Johnson,10.0
