Name,Productivity
Marcus+Petschlies,3
Olaf+Leupold,5
Alasdair+Routh,2
Moshe+Lindner,2
Paweł+Pierański,1
Itai+Orr,1
Jan+van Esch,2
Frank Lennart+Bakker,2
Zuzana+Mitróová,1
Christopher+Czaban,2
Bernd+Rosenow,48
Riccardo+Pagnani,1
Yusaku+Iwasawa,1
Didier+Ravot,1
Haim+Novogrodsky,1
Federico+Pettazzi,2
Zohar+Ringel,11
Jacob+Neufeld,46
Jezabel+Curbelo,1
Adam M.+Becker,1
A. D. Prasad+Rao,2
Blas R.+Alascio,1
Hadi+Rankoohi,1
François+Montanet,2
Rudolf+Schäfer,13
Stefan+Buhrandt,4
Hilda+Mercado-Uribe,1
Eldon L.+Christensen,1
Nilay+Hazari,2
Seppo O.+Sari,2
Christopher+Jennings,1
Manuel+Gruber,1
Takayuki+Nozaki,3
Samuel A.+Dickson,2
Yusuke+Tokunaga,6
Yuki+Sughiyama,4
Hirotaka+Toyoshima,1
Matthew+Choptuik,1
Samuel+Ruben,8
Claudio Alberto Torres+Suazo,1
Vasil+Tiberkevich,20
Wolfgang F.+Schmidt,1
Igor E.+Dikshtein,2
Pablo Aitor+Postigo,1
Palash+Bharadwaj,3
Gautam+Mukherjee,1
Nick+Weppenaar,1
Giulio+Cerullo,7
Halie+Martin,1
Noel+Perez,1
Edgar Josué+Landinez Borda,2
Adam+Latosiński,1
Federica+LoVerso,2
Taka H.+Nishino,1
Orson L.+Anderson,2
Timothy J.+Karle,1
Madhura+Joglekar,2
Georg+Kastlunger,3
Pavel+Bushev,4
Stefan+Schymura,1
Alexei V.+Fedotov,4
Rasil+Warnakulasooriya,4
Igor I.+Ryabtsev,1
Hiroshi+Yoshikawa,2
Marc+Henneaux,45
Sergey S.+Kurennoy,11
Kenneth W.+Sulston,1
Charles S.+Campbell,1
Patrycja+Paruch,2
Konstantinos+Tzirakis,2
Christos G.+Tsagas,24
Clivia M.+Sotomayor Torres,2
Warren+Grice,3
Norris+Johnston,2
Alexander+Leyderman,1
Chiara+Perazzolli,2
Bjørn+Skjetne,1
Hans E.+Suess,7
Adrian+Staicu,5
Nikolay+Kolev,3
Shunichi+Hishita,4
C. Pascual+Garcia,1
Margaret M.+Ramsey,2
Joel L.+Plawsky,2
Elnur+Hajiyev,3
Stefen+Lämmer,1
Rafael Hernández+Heredero,1
Shoichi+Nagata,12
Anna+Hiley,1
Eduardo+Zambrano,2
J. Colin+Hill,9
Rafal+Topolnicki,1
Amena L. T.+Khan,2
Rustam+Ibadov,2
Anton+Artemyev,3
Ashwani+Sharma,1
Marcello+Pavan,1
Katarzyna+Wójcik,1
Koichi+Shimakawa,5
Catherine+Barentin,3
José Manuel+Gordillo,4
Martin+Siegert,13
Vladimir+Fal’ko,5
Jerry+DeLapp,1
Matthew R.+Dietrich,2
Scott R.+Anderson,3
Nobuo+Wada,15
Ellen+Moons,1
Benny+Lautrup,4
Dana Z.+Anderson,20
Jonas L.+Hansen,2
Barbara+Piȩtka,1
JACK R.+MACDONALD,2
Glen+McCarthy,4
Carey+Briggs,1
Alain+Bulou,1
TOSHIKO+YUASA,1
Sergei+Bravyi,2
Ralph+Carey,1
Albert Lewis+Fitch.,2
Eckehard+Schöll,61
Rico+Pohle,1
Piotr+Migdał,5
Charles S.+Adams,13
Knut J.+Børve,1
